Estimate,Error,p_exc,OBJECTID
392.7999438,20.95022433,0,49
351.8914546,133.063461,0.007928642,268
865.9301556,122.6498508,0.545094153,41
191.5827202,44.53207597,0,341
1107.806607,149.8032719,0.979187314,395
359.9125072,20.51126415,0,65
924.6320773,205.9092838,0.625371655,112
351.8410368,87.93549591,0,220
1147.314964,231.8262304,0.933597621,160
836.2282627,101.799862,0.454905847,21
275.3245888,24.16148745,0,120
796.895916,71.07384257,0.260654113,361
363.7508784,74.41558037,0,150
88.05146383,18.44949802,0,218
247.048459,43.07262259,0,113
995.8918912,207.9943269,0.769078295,119
201.0141212,25.9220024,0,186
1201.265468,146.3229643,1,453
481.9144874,55.64307443,0,300
3197.803975,351.019196,1,379
683.6407334,140.9356295,0.132804757,71
250.1907854,31.21687052,0,124
1194.395734,201.5523015,0.983151635,392
1362.95082,189.667054,1,306
948.9516065,195.2793624,0.690782953,238
454.8551787,85.88378954,0.001982161,215
1067.298549,240.695134,0.841427156,175
233.6587269,47.6946209,0,287
851.3461537,93.08944339,0.528245788,472
1895.93993,255.6164926,1,458
253.9220773,37.98569339,0,91
1667.140051,206.7432112,1,499
1077.536239,153.5632747,0.96432111,357
442.6608943,54.45411202,0,157
427.6084511,37.13264412,0,313
969.9022412,175.7343209,0.763131814,212
953.7271849,107.9423681,0.863230922,522
972.0117033,139.1745449,0.840436075,93
431.3065016,75.91470674,0.003964321,477
420.0453186,54.71429535,0,331
998.1225682,233.1034341,0.732408325,131
242.5483369,30.8276839,0,148
611.5028318,84.43178513,0.009910803,594
472.6621232,55.20382253,0,172
995.2159182,122.3851774,0.912784936,64
728.1552841,69.04594598,0.07234886,375
928.8008161,164.4859587,0.693756194,222
844.7741762,140.2595493,0.479682854,20
108.0033175,17.11727419,0,32
490.7048299,57.89954877,0,178
924.6286823,162.0095001,0.690782953,545
721.4024863,92.13268114,0.120911794,226
460.4139882,47.50895864,0,107
824.1640672,102.8700335,0.400396432,381
949.076418,147.9456303,0.780971259,18
1118.124859,251.3728072,0.887016848,227
377.5834861,63.5809907,0,224
651.0347071,105.5874168,0.040634291,493
998.282153,161.8066355,0.854311199,326
26.25172869,4.747623238,0,440
1029.315888,183.4063207,0.870168484,76
1298.447627,260.4994332,0.989098117,319
576.3263366,114.547258,0.031714569,240
1534.248577,387.6246298,0.995044599,461
1391.08761,186.8724427,1,482
909.8399121,118.7161453,0.723488603,466
138.9887472,25.68147914,0,196
275.4638456,40.19730411,0,78
450.1596113,116.3658199,0.006937562,291
478.0316095,93.52550952,0.009910803,419
558.9810789,42.60886783,0,214
1540.284328,220.2567064,1,307
189.8855142,29.9993447,0,216
892.0822341,120.7200094,0.64222002,557
422.2879524,89.08865516,0.001982161,142
2429.593336,249.6788242,1,398
1028.228431,191.3950884,0.854311199,170
510.9161249,78.98203362,0.006937562,463
617.6191917,163.7890118,0.095143707,34
146.2392794,21.53767411,0,187
272.6821929,31.46512124,0,185
699.4820892,51.16457301,0.007928642,199
2157.941558,208.629122,1,516
861.8127772,147.7436058,0.521308226,276
1712.765777,257.2852333,1,459
653.3963015,87.19794963,0.027750248,518
999.7018369,123.1862663,0.933597621,401
338.6067252,50.71832707,0,108
1047.284706,162.5084146,0.905847374,422
373.6232044,69.40703388,0,236
199.5204342,27.16221227,0,77
693.3783418,49.367738,0.006937562,189
276.4680789,51.98784641,0,19
1363.426825,255.204469,1,318
792.3327641,98.77642681,0.304261645,37
1188.609072,272.2071459,0.926660059,451
380.1803003,88.31792196,0,27
883.5630778,117.1340399,0.630327056,356
499.6274024,103.0643737,0.008919722,141
1146.759428,267.0126858,0.904856293,412
416.5123378,53.51808269,0,166
230.5221998,27.07042649,0,181
845.3561777,171.3289131,0.479682854,259
934.5740589,187.2740954,0.683845391,106
1404.952525,255.6710649,0.995044599,426
580.6878625,72.82085325,0.008919722,323
407.8550689,65.41387278,0,103
788.7457005,104.0432515,0.274529237,7
463.9565955,44.32969204,0,457
770.5762059,230.7182858,0.301288404,1
2073.254003,217.7400877,1,416
969.7577609,122.7424927,0.873141724,98
540.7513526,60.36099,0,183
385.2544277,83.3388993,0.00099108,12
399.9365562,61.22883286,0,86
193.9729971,27.62083551,0,121
810.6936267,107.9455381,0.375619425,29
1120.384431,259.4438046,0.886025768,324
184.3920993,20.9912947,0,143
1874.919195,241.1975588,1,464
698.498717,28.59492988,0,244
289.9159534,50.63681712,0,9
369.1086717,44.02674463,0,271
1209.261079,185.849285,0.994053518,365
1945.991858,252.4158124,1,469
189.3344012,29.91595079,0,336
251.0224441,26.46726884,0,134
1325.090444,162.1235581,1,350
550.8920974,23.78816547,0,115
413.6937895,59.96898873,0,333
196.1750693,30.90359336,0,210
199.4605475,36.17479247,0,43
919.3731261,161.9848776,0.665014866,2
1337.518551,156.7604178,1,523
553.3523745,79.51024968,0.004955401,364
871.3557152,111.5463571,0.598612488,373
756.7752109,107.137089,0.229930624,11
241.1997782,42.88047331,0,135
1075.156357,209.967346,0.89296333,450
906.1676129,174.2307136,0.621407334,152
1925.140415,238.6070057,1,488
184.8525833,23.71264731,0,111
821.7828555,179.4307192,0.405351833,279
1109.125887,217.9045883,0.920713578,87
879.638393,156.3328533,0.580773043,525
2271.243877,215.1447217,1,449
760.6120388,112.565481,0.230921705,15
238.119682,29.83366608,0,146
987.9479491,181.1569821,0.805748266,73
1014.957207,145.2669181,0.915758176,81
1064.955174,163.2497066,0.937561943,384
359.429029,21.76130769,0,85
240.9601496,28.54350551,0,44
306.3091453,24.26830704,0,96
1023.767747,227.0105639,0.78592666,261
896.2843228,155.34042,0.623389495,304
463.8812312,78.29699785,0.001982161,133
376.3128231,42.06339138,0,51
2153.718319,219.5258945,1,513
934.6437579,176.361118,0.683845391,480
817.7080607,108.049658,0.413280476,494
921.0865733,198.8087846,0.640237859,275
2106.205899,192.0599318,1,533
889.8216083,154.4078074,0.600594648,320
1163.371792,183.0533637,0.981169475,420
895.0991886,143.1750671,0.626362735,302
1143.154303,146.717387,0.995044599,94
1689.403127,185.815896,1,351
970.7944695,109.4363736,0.900891972,59
1189.037681,252.8505502,0.9296333,171
491.6120889,49.26636396,0,278
425.9640407,64.57978909,0,83
1049.16481,204.4338834,0.864222002,97
624.4808108,73.24002647,0.011892963,305
1026.579741,155.1506782,0.902874133,75
677.554454,78.22960596,0.024777007,158
1083.543877,245.8817,0.853320119,198
1223.962576,293.6063072,0.931615461,423
315.7750004,24.96947194,0,48
104.9833401,16.4210325,0,149
1017.683998,206.285994,0.818632309,92
295.9649385,47.7035978,0,176
557.9022917,64.24662172,0,274
472.3736667,67.92735261,0,40
350.0265148,56.63674808,0,205
287.9568439,37.90123051,0,58
318.9734137,38.47660786,0,345
571.9264096,76.85429625,0.003964321,367
711.9185806,103.2800127,0.111000991,362
260.6320613,25.69050663,0,182
767.3995649,46.27920037,0.075322101,195
2120.072517,234.8531002,1,495
1071.230367,227.0567829,0.850346878,223
979.6036497,131.4200876,0.877106046,348
611.253501,64.9084455,0.00099108,378
293.4571996,41.38018615,0,63
1713.109815,181.8918295,1,474
928.8551086,198.4570041,0.638255699,117
730.7058385,143.5112539,0.207135778,68
621.8488318,99.90425156,0.023785927,342
439.7803752,78.67682045,0.00099108,204
250.7985222,45.97925572,0,163
345.1600715,68.56085127,0,138
1448.095504,361.4083212,0.989098117,501
231.2266774,38.2098196,0,128
745.3486334,188.5924346,0.271555996,8
183.999668,22.28519756,0,102
303.2557628,41.68578455,0,322
1078.526907,237.7589383,0.855302279,169
996.615276,216.2905574,0.768087215,132
1176.987815,262.4404948,0.923686819,332
582.9137682,148.2821249,0.061446977,30
251.2445948,32.77864694,0,74
934.2354965,175.6696968,0.682854311,42
158.4813974,31.79151416,0,109
1061.026461,203.9075521,0.866204163,429
847.0749206,179.9048581,0.476709613,248
